,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,11,11,7.1,8.1,8.1,8.1,8.1,8.1,1.8,1.8,0.7,0.7,0.7,0.7,1.4,1.8,1.1,4.9,4.9,,
Albania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,3.2,2.5,1.8,1.8,1.4,1.8,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.1,1.8,1.8,1.1,0.7,0.6,0.7
Algeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,4723,4701,4864,4903,5259,5299,5347,5757,5668,5672,5820,6078,6579,6837,6999,7105,6954,6788,6714,6448,6339
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,106,99,184,205,220,233,258,254,251,297,244,275,305,332,382,355,357,364,379,383,380
Antarctica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,940,970,1076,1224,1309,1364,1498,1585,1621,1616,1783,1849,1822,1827,1801,1783,1709,1663,1608,1557,1519
Armenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,871,938,1039,1075,1065,1105,1130,1170,1193,1243,1283,1317,1272,1330,1404,1444,1500,1868,2000,1917,2189
Austria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,53,48,52,53,50,55,61,64,61,66,74,69,61,68,69,57,62,64,63,67,48
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,565,516,507,510,470,461,506,487,489,461,326,322,372,340,712,946,936,1050,990,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,346,339,339,347,375,390,406,412,426,436,434,438,470,488,507,541,547,551,547,590,680
Bangladesh,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,216,235,260,267,269,290,320,343,364,392,429,463,494,541,575,632,692,703,710,,807
Barbados,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1.1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.7,0.7,0.7,0.7,0.7
Belarus,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,10,10,11,11,7.1,7.8,7.4,7.1,7.1,6.7,5.7,6.4,6.1,15,14,14,14,14,14,7.3,7.4
Belgium,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,0.1,(s),,(s),,,,(s),,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,197,209,189,186,189,190,176,198,253,314,361,447,519,517,537,541,474,526,571,673,762
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,32,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,260,274,281,323,348,381,420,469,494,548,558,599,625,625,641,762,746,810,850,911,1067
Brunei,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,352,358,395,392,391,380,401,416,434,454,473,474,474,505,503,501,427,440,471,451,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2.5,2.1,1.8,1.4,1.4,1.1,0.7,2.1,0.1,(s),(s),(s),,,11,3.9,0.4,1.8,15,2.8,9.8
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,39,51,58,57,53,62,68,124,258,311,364,385,486,468,499,459,424,439,451,,489
Burundi,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,77,88,85,73,73,73,73,69,63,57,53,60,65,69,69,69,69,84,85,,
Canada,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,6039,6479,6798,6969,7062,7262,7445,7680,7827,7786,7609,7699,7734,7785,7625,7369,6928,6695,6669,6307,6456
Cape Verde,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,0.4,0.4,,
Chile,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,148,150,133,129,113,108,105,101,105,101,77,75,70,67,70,68,69,67,57,46,37
Colombia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,189,195,271,333,453,508,534,513,529,534,513,504,532,518,575,1026,1197,1124,1115,1088,1009
Comoros,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,46,46,46,47,142,134,134,127,124,118,117,115,253,265,269,272,282,298,334,,
Congo (Kinshasa),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,0.1,0.3,0.3,0.3,0.3,0.3,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Cote dIvoire (IvoryCoast),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,1.4,19,21,28,47,48,48,47,47,46,46,46,53,57,57,53,53,63,63
Croatia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,73,64,70,64,57,55,55,59,62,55,65,58,54,72,72,72,70,67,53,67,63
Cuba,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1.3,1.2,1.4,1.5,35,21,24,28,18,19,20,20,21,19,30,50,50,43,40,40,39
Cyprus,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,8.4,10,9,8.3,7.6,8.1,8.1,7.7,5.7,5.4,5.9,7.6,7.1,6.9,7.1,7,6.3,8.7,8.3,9.3,8.9
Denmark,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,167,234,192,234,350,384,407,422,415,304,290,343,376,375,331,361,300,295,236,206,175
Djibouti,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,24,24,37,37,38,38,38,40,41,39,42,43,44,44,44,44,49,50,47,54,57
Egypt,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,527,549,563,631,641,645,694,860,1063,1107,1216,1296,1660,1776,1872,2312,2443,2369,2363,2310,2198
El Salvador,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,19,20,21,31,32,36,41,43,46,120,134,88,134,134,160,267,295,292,293,284,289
Eritrea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,0.1
Former Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,34,28,32,24,24,33,24,19,21,23,13,9.9,9.9,--,--,--,--,--,--,--,--
Former U.S.S.R.,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,121,125,118,103,91,80,73,66,67,96,84,77,63,65,58,52,49,48,40,36,12
French Guiana,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,95,91,91,91,91,91,91,88,84,81,76,74,74,74,73,73,73,73,77,14,86
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,2.1,2.1,2.1,2.1,2.1,0.5,0.7,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.2,,
Germany,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,692,733,766,824,808,787,884,836,842,844,817,747,738,767,757,673,663,569,561,497,465
"Germany, East",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,8.8,16,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2.9,1.4,1.3,1.4,1.3,1.2,(s),1.3,1.2,1.3,1,0.9,0.6,0.8,0.7,0.5,0.4,0.2,0.2,0.2,0.2
Greenland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,178,171,173,165,154,137,120,113,115,110,105,109,108,109,93,94,105,102,98,79,69
Iceland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,638,685,748,810,833,876,867,910,920,1001,1125,1135,1190,1119,1141,1170,1473,1883,1715,1485,1248
Indonesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2661,2942,3005,3160,3132,2980,3068,2901,2808,3042,3155,3030,2984,2955,2804,2883,3059,3406,3255,,
Iran,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2119,2336,2671,3009,2917,3143,3623,3871,3927,4273,4556,4768,5354,5926,6152,6372,7428,7774,7915,8169,8083
Iraq,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,97,120,120,123,134,177,155,154,139,125,81,117,401,420,523,522,585,596,660,724,755
Ireland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,94,96,98,95,83,62,48,42,29,30,24,30,20,18,16,15,14,10,7.3,7.9,6.6
Israel,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1.1,1.1,0.7,0.7,0.7,0.7,0.4,0.4,0.4,0.4,1.4,52,27,35,97,122,99,114,152,,
Italy,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,691,729,720,708,680,671,617,587,538,516,490,458,426,388,343,327,283,297,298,304,273
Jamaica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,225,216,223,213,205,198,201,205,193,219,185,201,191,179,189,185,176,178,180,175,169
Jordan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,7.1,9.9,10,9.5,10,9.9,9.9,10,10,11,11,11,9.9,11,8.8,7.4,7.8,7.8,8.1,6.4,5.3
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,247,182,204,180,233,237,208,366,397,489,604,841,1062,1112,1213,1341,1451,1513,1620,1423,1414
Kenya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
"Korea, North",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
"Korea, South",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,0.8,0.4,0.2,,,,,,,17,18,15,16,27,33,36,37,18
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
