,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kuwait,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,244,267,267,385,384,374,358,396,353,343,396,424,533,505,470,525,413,422,486,556,584
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1.4,1.2,1.2,0.9,0.6,0.5,0.4,0.5,0.6,0.4,1,1,1.1,0.9,0.6,1.1,0.5,0.4,0.4,1.1,1.1
Laos,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,438,442,440,446,456,445,325,358,365,366,451,585,755,956,1032,1070,1034,1069,348,,580
Lithuania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,(s),0.1,0.1
Macau,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,895,938,1036,1249,1376,1391,1443,1734,1825,2300,2625,2600,2680,2479,2657,2691,2666,2718,2694,2725,2769
Maldives,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1002,1026,1033,1226,1419,1540,1491,1511,1456,1448,1509,1583,1728,1937,2253,2573,2471,2609,2550,2475,2485
Micronesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1.1,1.1,0.7,0.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.1,1.5,2.3,2.5,2.5,2.5,2.8,2.8
Mozambique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,2.1,2.1,2.1,2.1,2.1,2.8,2.8,7.1,58,93,104,95,110,135,136,152
Namibia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,3118,2959,2988,3378,2993,2845,2653,2564,2754,2678,2576,3038,2775,2733,2690,2961,2787,3132,2853,2844,3054
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,215,178,167,190,202,177,203,216,229,217,165,151,147,141,159,157,165,178,160,168,172
Nicaragua,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1189,1189,1234,1301,1140,1121,1084,1231,1388,1346,1554,1603,1921,2182,2416,2565,1836,2392,2399,2996,2812
Niue,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1468,1590,1667,2099,2485,2624,2888,3188,3340,3736,4177,4511,4619,4573,4828,4988,5114,5253,5197,,
Oman,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,227,237,268,251,363,370,408,484,730,765,879,971,848,1052,1070,1068,1097,1176,1157,1326,1367
Pakistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,667,717,741,794,800,826,885,972,875,931,1017,1095,1215,1413,1413,1452,1477,1513,1472,1538,1496
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2.8,1.8,3.9,4.9,4.2,4.2,4.2,4.2,4.2,4.2,5.3,5.3,3.9,5.3,5.2,4.9,3.9,4.2,3.9,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,46,47,45,44,34,33,32,29,32,34,65,121,196,250,289,271,383,491,624,558,
Philippines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,0.4,0.4,0.4,0.4,0.4,0.4,11,85,127,127,127,106,120,121,131,126,131,138,124
Poland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,182,173,179,177,180,181,176,184,193,196,199,210,215,212,214,204,208,215,221,224,220
Portugal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,650,646,650,669,837,925,1035,1312,1250,1346,1414,1712,2034,2190,2702,3210,3630,4656,5479,5757,5813
Reunion,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,756,702,694,645,614,524,510,488,505,470,434,417,413,449,432,403,384,374,375,404,413
Rwanda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saint Vincent/Grenadines,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2377,2479,2612,2742,1680,1758,1719,1888,2013,2120,2399,2700,2873,3002,2941,3051,3165,3427,3617,3928,4030
Senegal,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,0.7,1.4,1.8,2.1,1.4,1.4,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.7,0.7,1.6,1.6
Serbia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,8.8,5.3,7.1,9.9,15,22,24,26
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,8.9,10,12,11,10,9.2,7.5,6.1,7.1,6.6,7.2,6,5.2,7,5.1,4,4.1,4,4.6,5.8,4.8
Slovenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,0.7,0.4,0.4,0.4,0.5,0.3,,,,,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,(s),(s),0.1
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,64,69,69,65,64,57,55,64,80,87,87,84,83,102,54,48,37,34,45,41,41
Spain,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,23,6.9,15,17,6.4,4.1,5.3,5.7,18,18,7.6,12,5.9,2.6,0.6,0.6,0.5,1.8,1.8,2.2,2
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Sudan and South Sudan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,(s),,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,(s),(s),,,,,,,,,,,,(s),,0.1,0.1,0.2,0.3,0.3,0.5
Syria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,164,168,155,204,226,269,278,280,252,318,332,343,297,305,300,297,287,356,392,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,29,32,34,32,33,31,31,31,30,33,29,30,28,15,15,13,12,11,11,14,12
Tajikistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,1.2,1.4,1,1.4,2.1,2.1,1.4,1.8,0.7,1.4,1.4,1.4,1.3,0.7,1.1,1.3,1.4,0.7,0.5,0.5
Tanzania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,4.6,15,18,19,21,24,28,31,35,35
Thailand,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,343,376,401,468,571,616,677,713,716,762,834,860,925,935,998,1095,1174,1378,1416,1586,1614
Timor-Leste (East Timor),,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,303,342,360,391,414,413,500,577,614,678,949,1073,1175,1417,1476,1466,1515,1576,1507,1585,1585
Tunisia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,29,27,26,42,75,84,84,83,94,88,106,109,111,113,72,69,97,109,108,,103
Turkey,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,8.5,9.3,9.1,9.5,12,24,30,27,11,13,20,24,32,32,32,36,24,24,27,22,19
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2288,1257,1141,1307,901,466,788,1642,1702,1889,2087,2068,2225,2250,2454,2564,1386,1635,2378,2486,2820
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
U.S. Territories,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,678,643,620,643,639,639,632,636,643,650,689,678,685,689,689,699,715,684,699,699,745
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1292,1213,1443,1622,1698,1730,1776,1784,2084,2254,2305,2404,2410,2561,2649,2827,2678,2817,2911,2913,2959
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,2586,2776,2949,3471,3305,3444,3783,4124,4076,3981,3902,3690,3379,3050,2740,2656,2269,2171,1742,1498,1407
Uruguay,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1589,1667,1695,1695,1737,1935,1964,1992,2228,2038,2030,2125,2119,2226,2313,2398,2179,2130,2235,2222,2106
Vanuatu,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,1489,1569,1679,1926,2089,2167,2015,2137,2203,2189,1854,2027,2041,1872,2529,2542,2549,2510,2599,2683,2699
Vietnam,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,36,36,35,41,18,39,49,57,60,96,113,124,170,247,241,279,283,331,302,332,350
"Virgin Islands,  U.S.",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,362,410,471,516,527,540,583,667,696,710,710,710,727,646,1031,1059,1047,1153,1078,1006,1111
Zambia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Gross Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Sum,,48690.8,49299.3,51652.3,55726.4,55739.8,56630.1,58686.3,62861.6,64809.6,67178.5,69739.3,72975.9,76689.9,79016.6,82730.7,86482.3,85511.9,90186.5,90798,79373.6,81014.2