International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reinjected Natural Gas,Bcf,92,,,,,,,,,32,32,32,28,343,474,560,624,939,1040,1155,1370,1318,664,739,
,Marketed Natural Gas,Bcf,28782,28623,27807,27208,25792,25267,24304,22979,23377,23741,24507,24734,25368,26234,26846,27386,28039,28405,28761,25271,27903,30168,29413,30243,
,Dry Natural Gas,Bcf,28782,28623,27461,26858,25414,24875,23908,22615,22997,23360,24130,24365,24914,25757,26355,26793,27463,27752,28088,24507,26848,28464,28469,29071,20437
,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,46.528,46.488,46.41,46.963,48.151,49.212,51.744,51.505,50.462,50.809,50.637,51.267,51.021,50.245,50.303,48.612,47.349,46.333,46.425,44.634,45.283,43.498,43.699,42.063,
,Biofuels,1000 bbl/d,,,,,,,,,,,17,21,29,39,48,77,124,154,197,233,256,254,241,,
,Fuel Ethanol,1000 bbl/d,,,0.1,0.6,0.8,0.8,1.3,1.8,2.1,2,2,2.4,5,6.7,7.7,15,27,31,47,59,72,72,68,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,15,19,24,33,41,62,97,123,150,173,184,181,172,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1288900,1165133,1098493,1032551,969389,967877,957709,937313,882241,828771,831819,840542,831685,827625,815962,801349,793854,803728,796544,761043,736552,776104,773475,706281,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,6760,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,23821,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,94411,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,37871,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,543417,
,Secondary Coal,1000 ST,100734,87271,82701,75194,75429,75160,72381,72517,69325,61987,62857,59364,56455,58910,60642,59069,61403,60980,59650,44878,54147,53469,51440,,
,Metallurgical Coke,1000 ST,100734,87271,82701,75194,75429,75160,72381,72517,69325,61987,62857,59364,56455,58910,60642,59069,61403,60980,59650,44878,54147,53469,51440,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,4818,5053,5345,5602,6527,6874,7295,7283,7230,7295,7166,7226,7171,6963,6591,6166,5777,5445,5225,4983,4656,4300,3989,3813,3870
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,4594,4820,5098,5340,6232,6569,6980,6964,6910,6966,6835,6893,6827,6604,6233,5800,5411,5093,4869,4620,4294,3934,3627,3444,3501
,Crude Oil including Lease Condensate,1000 bbl/d,4292,4506,4764,4993,5789,6066,6474,6489,6446,6481,6364,6346,6305,6029,5699,5211,4786,4541,4297,4063,3765,3420,3111,2935,2956
,NGPL,1000 bbl/d,256,269,309,324,409,468,464,438,435,419,423,503,467,511,454,475,473,460,454,435,410,387,390,382,407
,Other Liquids,1000 bbl/d,34,26,25,24,34,35,40,36,29,42,48,42,55,64,75,113,150,92,117,122,119,127,127,126,137
,Refinery Processing Gain,1000 bbl/d,225,233,248,262,295,305,315,319,320,329,331,333,344,359,358,366,366,353,356,363,363,366,362,369,369
,Refined Petroleum Products,1000 bbl/d,14900,14676,14953,15134,15401,15484,15748,16086,16484,15745,15975,16023,15951,16297,16522,16607,16515,15868,15664,14751,14527,14350,14116,NA,
,Motor Gasoline,1000 bbl/d,3435,3463,3590,3653,3666,3700,3726,3756,3831,3671,3617,3591,3675,3721,3781,3739,3710,3496,3375,3309,3112,3015,2944,NA,
,Jet Fuel,1000 bbl/d,755,699,726,744,799,832,885,897,905,916,897,851,804,811,834,813,853,870,875,777,776,811,762,NA,
,Kerosene,1000 bbl/d,156,133,127,130,140,131,131,131,132,140,131,126,136,176,221,214,206,189,186,191,210,224,265,NA,
,Distillate Fuel Oil,1000 bbl/d,4550,4668,4798,4959,5119,5067,5288,5389,5567,5313,5475,5552,5537,5697,5687,5871,5843,5852,5967,5639,5580,5566,5596,NA,
,Residual Fuel Oil,1000 bbl/d,2849,2749,2725,2684,2488,2442,2431,2458,2545,2290,2285,2282,2210,2195,2252,2207,2197,2096,1933,1685,1610,1524,1480,NA,
,Liquefied Petroleum Gases,1000 bbl/d,576,574,586,580,625,621,634,649,653,626,656,663,679,701,693,701,696,592,597,562,561,565,554,NA,
,Other Products,1000 bbl/d,2578,2388,2403,2383,2565,2690,2653,2805,2851,2789,2914,2956,2909,2996,3055,3061,3011,2774,2731,2587,2678,2645,2519,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,8834,10027,9535,10273,10471,10780,12089,11918,11931,12352,12808,13064,13152,13294,13819,13309,12940,12705,12924,12355,12654,11823,11976,11708,
,Vented and Flared Natural Gas,Bcf,31,136,49,128,174,133,139,119,117,181,161,148,146,139,138,138,134,104,99,91,91,89,102,100,
,Reinjected Natural Gas,Bcf,4,628,450,552,652,637,663,960,1081,1225,1470,1413,1210,1307,1495,1449,1406,1537,1397,1362,1404,1517,1499,1473,
,Marketed Natural Gas,Bcf,8800,9263,9037,9593,9645,10010,11287,10838,10733,10946,11177,11468,11795,11847,12187,11723,11400,11064,11428,10902,11159,10217,10375,10135,
,Dry Natural Gas,Bcf,8596,9065,9037,9456,9498,9857,11091,10679,10490,10717,10982,11099,11405,11456,11900,11418,11124,10778,11172,10654,10906,9941,10060,9851,8949
,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,40.995,40.298,43.52,45.72,47.284,48.335,49.434,51.723,54.88,53.794,57.483,56.192,54.31,57.788,62.888,66.258,66.287,65.865,69.89,67.9,72.077,76.819,78.12,77.548,
,Biofuels,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,
,Fuel Ethanol,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1213,988,1070,1068,1425,1254,1335,1334,1356,1146,1265,1228,1138,1260,1349,1715,1820,1835,1753,1270,1200,1283,1151,1296,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,129,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,1167,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary Coal,1000 ST,729,1059,938,1082,1076,1025,1035,1080,1259,1292,1270,1207,1260,1107,1125,1043,1033,1052,825,1080,937,761,580,,
,Metallurgical Coke,1000 ST,729,1059,938,1082,1076,1025,1035,1080,1259,1292,1270,1207,1260,1107,1125,1043,1033,1052,825,1080,937,761,580,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,17449,17054,18357,19291,20036,20421,20618,21430,22761,22115,23484,22793,21571,22992,25070,26092,25774,25286,26764,25326,26221,27674,27880,27472,27836
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,17487,17071,18384,19318,20042,20412,20609,21429,22757,22111,23476,22781,21567,22976,25038,26055,25742,25259,26741,25288,26205,27653,27863,27456,27820
,Crude Oil including Lease Condensate,1000 bbl/d,16545,16130,17373,18265,18669,18979,19174,19923,21178,20525,21828,20952,19632,20867,22508,23250,22896,22313,23611,22220,23117,24396,24466,24061,24459
,NGPL,1000 bbl/d,942,891,1011,998,1338,1379,1376,1381,1519,1527,1588,1759,1855,2029,2451,2725,2765,2854,3025,2962,2977,3140,3182,3163,3129
,Other Liquids,1000 bbl/d,,,,,35,44,50,55,60,60,60,70,80,80,80,80,81,91,105,105,112,117,215,232,232
,Refinery Processing Gain,1000 bbl/d,-38,-17,-27,-27,-6.7,8.5,9,0.4,4.2,3.1,8.3,12,4,17,32,37,33,27,23,39,15,21,16,16,16
,Refined Petroleum Products,1000 bbl/d,4553,4002,4484,4649,5071,5181,5177,5453,5580,5696,5993,6151,6236,6351,6548,6846,7064,6623,6772,6720,6938,7022,6999,NA,
,Motor Gasoline,1000 bbl/d,634,606,653,681,702,712,720,725,795,786,829,845,864,854,954,996,979,1017,1025,1072,1066,1103,1160,NA,
,Jet Fuel,1000 bbl/d,265,308,214,203,297,390,404,276,284,277,350,308,312,383,405,451,501,431,435,389,464,482,494,NA,
,Kerosene,1000 bbl/d,296,245,259,300,308,309,304,443,327,281,390,446,408,377,364,390,376,372,370,389,385,385,405,NA,
,Distillate Fuel Oil,1000 bbl/d,1295,1157,1272,1317,1539,1506,1489,1528,1564,1609,1616,1746,1780,1763,1881,1894,1937,1893,2026,1953,1990,2033,2010,NA,
,Residual Fuel Oil,1000 bbl/d,1542,1254,1473,1516,1481,1406,1385,1463,1515,1618,1631,1552,1604,1647,1592,1613,1672,1526,1604,1606,1681,1668,1730,NA,
,Liquefied Petroleum Gases,1000 bbl/d,114,133,208,219,294,357,316,287,348,350,295,317,547,446,446,492,331,226,236,298,176,188,181,NA,
,Other Products,1000 bbl/d,407,300,405,412,452,501,559,730,748,775,882,937,721,881,906,1010,1268,1158,1076,1013,1177,1162,1019,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,5897,7227,7075,7886,8228,9008,9879,9153,9686,10352,11258,11881,12700,13519,14648,15983,17142,18452,19601,20984,23049,24402,25389,25854,
,Vented and Flared Natural Gas,Bcf,503,1502,919,727,738,914,914,563,546,546,534,399,424,589,586,959,1069,1046,1046,1073,1063,1042,1173,1168,
,Reinjected Natural Gas,Bcf,1033,1095,1163,1811,1865,2160,2439,1874,1980,2273,2451,2722,2689,2697,2924,2690,2557,3081,3333,2824,3286,3325,2934,2979,
,Marketed Natural Gas,Bcf,4361,4630,4993,5348,5625,5934,6527,6716,7160,7533,8273,8760,9587,10233,11138,12334,13516,14325,15222,17087,18699,20035,21283,21708,
,Dry Natural Gas,Bcf,3716,3734,4139,4431,4690,4987,5530,6223,6596,6930,7570,7984,8706,9184,9946,11262,11949,12593,13510,14669,16700,18273,19332,19771,4054
,North America,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,91.752,92.284,92.385,91.76,95.214,96.097,98.498,99.045,99.659,98.517,98.836,99.344,98.72,98.302,98.901,98.343,100.032,100.711,101.454,99.642,101.961,105.681,107.013,109.228,
,Biofuels,1000 bbl/d,,,,,,,,,,,110,120,144,188,227,266,340,472,667,769,915,1005,976,,
,Fuel Ethanol,1000 bbl/d,49,57,64,75,84,89,63,84,92,98,110,119,144,187,225,259,323,439,621,733,891,939,909,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,,0.6,0.7,0.9,1.8,6.1,17,34,46,36,25,66,68,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1112041,1081520,1076600,1028779,1123586,1125900,1158829,1188124,1212742,1191708,1162355,1217748,1179703,1150847,1195741,1215935,1248708,1236890,1260086,1157802,1173349,1186981,1106464,1077794,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,2143,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,125873,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,390010,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,472652,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,87115,
,Secondary Coal,1000 ST,34331,30510,29741,29353,28936,29736,29184,28188,25933,25968,26696,24730,22433,22873,22764,22570,22187,21884,21283,15500,20456,20850,20561,,
,Metallurgical Coke,1000 ST,34331,30510,29741,29353,28936,29736,29184,28188,25933,25968,26696,24730,22433,22873,22764,22570,22187,21884,21283,15500,20456,20850,20561,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,14709,15073,15028,14992,14912,14928,15239,15510,15480,14981,15271,15343,15545,15687,15710,15205,15318,15418,15099,15450,16116,16685,17915,19331,21216
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,13955,14284,14185,14154,14066,14075,14318,14580,14519,14014,14240,14356,14500,14614,14557,14114,14221,14315,14001,14364,14946,15511,16753,18139,20031
,Crude Oil including Lease Condensate,1000 bbl/d,11461,11644,11446,11199,11190,11076,11245,11478,11392,10786,10903,11049,11178,11414,11315,10974,10959,10848,10418,10575,10844,11145,12227,13328,14715
,NGPL,1000 bbl/d,2413,2548,2611,2701,2620,2695,2760,2759,2745,2849,2956,2920,2901,2773,2817,2699,2762,2838,2779,2875,3003,3141,3336,3565,4000
,Other Liquids,1000 bbl/d,80,92,128,254,257,304,313,343,381,378,381,388,422,427,425,442,501,629,804,914,1099,1224,1190,1246,1313
,Refinery Processing Gain,1000 bbl/d,755,788,843,838,846,853,921,930,961,967,1031,987,1046,1073,1153,1091,1097,1103,1098,1085,1170,1174,1162,1191,1185
,Refined Petroleum Products,1000 bbl/d,18386,18347,18424,18909,19016,19162,19581,20022,20321,20246,20494,20631,20708,21033,21423,21321,21468,21522,21559,21303,21832,21932,21852,NA,
,Motor Gasoline,1000 bbl/d,7986,7989,8051,8328,8229,8511,8634,8780,8919,8993,9028,9133,9340,9399,9480,9510,9523,9558,9682,9958,10186,10115,10018,NA,
,Jet Fuel,1000 bbl/d,1631,1574,1533,1564,1593,1561,1665,1707,1682,1725,1757,1678,1655,1638,1708,1703,1629,1601,1645,1537,1553,1575,1609,NA,
,Kerosene,1000 bbl/d,102,102,105,108,123,112,120,115,115,101,97,107,90,89,97,101,81,68,46,47,32,26,12,NA,
,Distillate Fuel Oil,1000 bbl/d,3647,3686,3682,3870,3975,3888,4105,4198,4234,4218,4409,4552,4449,4636,4770,4891,4984,5093,5264,5038,5202,5457,5559,NA,
,Residual Fuel Oil,1000 bbl/d,1525,1486,1426,1396,1364,1314,1264,1259,1340,1240,1239,1289,1186,1196,1182,1129,1102,1128,1051,1030,1029,965,906,NA,
,Liquefied Petroleum Gases,1000 bbl/d,615,658,728,713,745,783,796,798,773,774,787,755,762,755,740,663,711,740,713,705,743,695,703,NA,
,Other Products,1000 bbl/d,2881,2853,2898,2929,2987,2993,2996,3164,3257,3197,3177,3118,3225,3318,3446,3324,3439,3334,3158,2988,3088,3100,3046,NA,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,27322,27769,28592,29767,31086,31575,32309,32694,32910,32760,33364,33783,33175,33237,33252,32920,33256,34543,35578,35455,36140,37699,38324,38946,
,Vented and Flared Natural Gas,Bcf,233,260,262,364,363,449,518,598,492,402,374,327,291,284,222,253,302,410,720,477,374,396,327,374,
,Reinjected Natural Gas,Bcf,2957,3232,3403,3582,3745,4047,3961,3952,3883,3738,3851,3897,3895,3985,4213,4181,3812,4274,4318,4224,4163,4232,3953,4096,
,Marketed Natural Gas,Bcf,23843,24001,24648,25407,26566,26690,27311,27544,27918,28005,28634,29096,28487,28469,28161,27774,28411,29196,29821,30033,30766,32202,33276,33752,
,Dry Natural Gas,Bcf,22562,22654,23239,23955,25062,25159,25629,25830,26266,26384,26966,27515,26893,26953,26326,25960,26550,27360,27899,27979,28520,29864,30773,31103,32670
,World,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,348.788,346.541,346.656,348.126,354.009,363.093,372.411,377.218,381.552,382.94,396.403,401.638,403.533,418.56,440.572,455.729,465.777,474.791,486.587,482.582,508.726,524.792,533.497,526.492,
,Biofuels,1000 bbl/d,,,,,,,,,,,315,344,403,499,554,657,840,1104,1476,1636,1866,1916,1903,,
,Fuel Ethanol,1000 bbl/d,255,280,269,273,303,311,309,354,338,325,300,324,378,465,511,585,716,925,1215,1323,1521,1490,1471,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,15,20,25,34,44,71,125,179,261,313,346,425,433,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,5293668,5008386,4924632,4804214,4876635,4963395,5070043,5079182,5036888,4966039,5125936,5347693,5447584,5836739,6306553,6735231,7027941,7368955,7584183,7634968,8130910,8749022,8898121,8980895,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,757125,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,1158443,
,Bituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,4947659,
,Subbituminous,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,798210,
,Lignite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,1319458,
,Secondary Coal,1000 ST,410419,376476,367954,365311,361795,404193,398312,401288,380617,366450,375556,389219,390577,433756,468183,526436,565632,591259,600451,589651,647034,700159,699915,,
,Metallurgical Coke,1000 ST,410419,376476,367954,365311,361795,404193,398312,401288,380617,366450,375556,389219,390577,433756,468183,526436,565632,591259,600451,589651,647034,700159,699915,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,,,,67101,68637,70305,71986,74220,75681,74838,77725,77672,77101,79606,83402,85099,85135,85130,86515,85703,88099,88532,90466,91014,93201
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,,,,65864,67332,68882,70445,72645,74020,73120,75882,75834,75192,77620,81263,82987,82980,82977,84338,83437,85736,86128,88037,88515,90705
,Crude Oil including Lease Condensate,1000 bbl/d,60337,60043,60103,60173,61172,62433,63756,65743,67032,65871,68492,68083,67283,69432,72588,73820,73430,73121,74012,72863,74585,74692,76117,76202,77787
,NGPL,1000 bbl/d,4367,4684,4756,4948,5351,5506,5298,5455,5853,6164,6142,6671,6662,6956,7492,7599,8132,8329,8447,8474,8656,9042,9227,9611,10081
,Other Liquids,1000 bbl/d,,,,630,783,876,922,995,984,971,978,1008,1092,1101,1139,1205,1354,1472,1814,1966,2221,2331,2443,2611,2734
,Refinery Processing Gain,1000 bbl/d,,,,1237,1305,1423,1541,1575,1661,1719,1844,1839,1909,1986,2139,2112,2155,2153,2177,2266,2382,2408,2419,2470,2496
,Refined Petroleum Products,1000 bbl/d,65552,65153,65842,66395,67188,68299,69665,72056,72387,72610,74785,76447,76424,77745,80758,82556,82615,81586,81774,82426,84183,84715,85216,NA,
,Motor Gasoline,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Jet Fuel,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerosene,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Distillate Fuel Oil,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Residual Fuel Oil,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquefied Petroleum Gases,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Products,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,Bcf,87925,91413,91604,94124,95273,97369,100786,100017,101471,103356,107690,109958,112573,116226,120327,124135,127393,132585,137561,135133,143342,147222,148436,150495,
,Vented and Flared Natural Gas,Bcf,3142,4455,4222,3810,3824,4111,4369,3880,3629,3481,3331,3024,3199,3197,3479,4384,4315,4595,5045,4679,4383,4345,4398,4392,
,Reinjected Natural Gas,Bcf,7924,8603,8658,9847,10300,10983,11305,11404,11486,11404,12306,12879,13376,13724,14772,14844,14401,16223,16961,16708,17090,16926,15425,15582,
,Marketed Natural Gas,Bcf,76563,78077,78469,80038,80737,81885,84593,84134,85739,87856,91549,93557,95496,98806,101422,104318,107941,111105,114837,113024,121032,125082,127845,129797,
,Dry Natural Gas,Bcf,73671,74892,75101,76497,77063,78097,79556,79799,81865,83832,87093,88823,90558,93344,95646,98250,101568,104142,107653,105177,112743,116113,118021,120916,78277